instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,t_rank_norm,h_rank_norm,w_rank_norm,day_score,day_clustering
1,2011-01-01,1,0,1,0,6,0,2,0.34,0.36,0.81,0.16,331,654,985,73.32,88.03,38.71,3.47,Good day
2,2011-01-02,1,0,1,0,0,0,2,0.36,0.35,0.7,0.25,131,670,801,70.31,67.17,80.16,3.58,Normal day
3,2011-01-03,1,0,1,0,1,1,1,0.2,0.19,0.44,0.25,120,1229,1349,96.03,8.34,80.03,3.76,Normal day
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.21,0.59,0.16,108,1454,1562,95.49,42.13,38.58,3.67,Normal day
5,2011-01-05,1,0,1,0,3,1,1,0.23,0.23,0.44,0.19,82,1518,1600,93.02,8.07,53.21,3.4,Good day
6,2011-01-06,1,0,1,0,4,1,1,0.2,0.23,0.52,0.09,88,1518,1606,95.21,24.49,7.52,3.18,Good day
7,2011-01-07,1,0,1,0,5,1,2,0.2,0.21,0.5,0.17,148,1362,1510,95.83,19.84,43.98,3.51,Normal day
8,2011-01-08,1,0,1,0,6,0,2,0.16,0.16,0.54,0.27,68,891,959,98.29,27.91,84.27,4.07,Normal day
9,2011-01-09,1,0,1,0,0,0,1,0.14,0.12,0.43,0.36,54,768,822,99.18,7.59,97.33,4.02,Normal day
10,2011-01-10,1,0,1,0,1,1,1,0.15,0.15,0.48,0.22,41,1280,1321,98.77,15.18,70.04,3.82,Normal day
11,2011-01-11,1,0,1,0,2,1,2,0.17,0.19,0.69,0.12,43,1220,1263,97.95,64.3,18.33,3.76,Normal day
12,2011-01-12,1,0,1,0,3,1,1,0.17,0.16,0.6,0.3,25,1137,1162,97.81,43.91,91.24,4.29,Bad day
13,2011-01-13,1,0,1,0,4,1,1,0.16,0.15,0.47,0.3,38,1368,1406,98.29,13.41,90.7,3.99,Normal day
14,2011-01-14,1,0,1,0,5,1,1,0.16,0.19,0.54,0.13,54,1367,1421,98.63,28.32,20.79,3.45,Good day
15,2011-01-15,1,0,1,0,6,0,2,0.23,0.25,0.5,0.16,222,1026,1248,92.54,19.97,37.76,3.35,Good day
16,2011-01-16,1,0,1,0,0,0,1,0.23,0.23,0.48,0.19,251,953,1204,92.75,15.73,54.45,3.48,Good day
17,2011-01-17,1,0,1,1,1,0,2,0.18,0.18,0.54,0.19,117,883,1000,97.54,28.18,57.59,3.78,Normal day
18,2011-01-18,1,0,1,0,2,1,2,0.22,0.23,0.86,0.15,9,674,683,94.66,94.25,32.08,4.1,Normal day
19,2011-01-19,1,0,1,0,3,1,2,0.29,0.3,0.74,0.21,78,1572,1650,83.58,78.52,63.06,3.92,Normal day
20,2011-01-20,1,0,1,0,4,1,2,0.26,0.26,0.54,0.2,83,1844,1927,89.81,28.86,58.41,3.57,Normal day
21,2011-01-21,1,0,1,0,5,1,1,0.18,0.16,0.46,0.35,75,1468,1543,97.4,11.15,96.72,4.0,Normal day
22,2011-01-22,1,0,1,0,6,0,1,0.06,0.08,0.4,0.17,93,888,981,100.0,4.1,45.55,3.5,Good day
23,2011-01-23,1,0,1,0,0,0,1,0.1,0.1,0.44,0.25,150,836,986,99.86,7.93,79.62,3.87,Normal day
24,2011-01-24,1,0,1,0,1,1,1,0.1,0.12,0.49,0.16,86,1330,1416,99.73,17.65,38.17,3.55,Normal day
25,2011-01-25,1,0,1,0,2,1,2,0.22,0.23,0.62,0.13,186,1799,1985,93.43,47.47,22.02,3.5,Good day
26,2011-01-26,1,0,1,0,3,1,3,0.22,0.2,0.86,0.29,34,472,506,94.46,94.46,89.33,4.67,Bad day
27,2011-01-27,1,0,1,0,4,1,1,0.2,0.22,0.69,0.11,15,416,431,96.17,64.57,14.36,3.67,Normal day
28,2011-01-28,1,0,1,0,5,1,2,0.2,0.22,0.79,0.12,38,1129,1167,95.35,86.73,19.02,3.92,Normal day
29,2011-01-29,1,0,1,0,6,0,1,0.2,0.21,0.65,0.15,123,975,1098,95.83,56.22,31.05,3.75,Normal day
30,2011-01-30,1,0,1,0,0,0,1,0.22,0.25,0.72,0.07,140,956,1096,94.8,73.32,4.24,3.62,Normal day
31,2011-01-31,1,0,1,0,1,1,2,0.18,0.19,0.6,0.19,42,1459,1501,97.13,44.87,53.69,3.9,Normal day
32,2011-02-01,1,0,2,0,2,1,2,0.19,0.23,0.83,0.05,47,1313,1360,96.31,91.11,1.23,3.81,Normal day
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.25,0.78,0.26,72,1454,1526,90.01,84.75,83.72,4.39,Bad day
34,2011-02-03,1,0,2,0,4,1,1,0.19,0.18,0.44,0.28,61,1489,1550,96.85,8.62,86.59,3.86,Normal day
35,2011-02-04,1,0,2,0,5,1,2,0.21,0.23,0.59,0.13,88,1620,1708,95.08,40.08,21.34,3.47,Good day
36,2011-02-05,1,0,2,0,6,0,2,0.23,0.24,0.93,0.16,100,905,1005,92.54,99.04,39.33,4.16,Normal day
37,2011-02-06,1,0,2,0,0,0,1,0.29,0.29,0.57,0.14,354,1269,1623,84.68,35.16,29.27,3.18,Good day
38,2011-02-07,1,0,2,0,1,1,1,0.27,0.3,0.74,0.05,120,1592,1712,87.69,77.36,0.55,3.41,Good day
39,2011-02-08,1,0,2,0,2,1,1,0.22,0.2,0.54,0.36,64,1466,1530,94.05,28.52,97.33,4.08,Normal day
40,2011-02-09,1,0,2,0,3,1,2,0.13,0.14,0.49,0.19,53,1552,1605,99.32,19.02,54.72,3.72,Normal day
41,2011-02-10,1,0,2,0,4,1,1,0.14,0.15,0.44,0.22,47,1491,1538,99.04,8.48,68.81,3.74,Normal day
42,2011-02-11,1,0,2,0,5,1,1,0.19,0.21,0.51,0.11,149,1597,1746,96.72,22.16,12.59,3.25,Good day
43,2011-02-12,1,0,2,0,6,0,1,0.22,0.23,0.54,0.2,288,1184,1472,93.64,30.92,61.01,3.73,Normal day
44,2011-02-13,1,0,2,0,0,0,1,0.32,0.32,0.46,0.26,397,1192,1589,79.82,11.35,83.04,3.34,Good day
45,2011-02-14,1,0,2,0,1,1,1,0.42,0.4,0.38,0.42,208,1705,1913,61.76,2.74,99.45,2.87,Good day
46,2011-02-15,1,0,2,0,2,1,1,0.27,0.25,0.31,0.29,140,1675,1815,88.24,1.37,88.78,3.55,Normal day
47,2011-02-16,1,0,2,0,3,1,1,0.32,0.32,0.42,0.25,218,1897,2115,79.07,6.84,81.26,3.25,Good day
48,2011-02-17,1,0,2,0,4,1,1,0.44,0.43,0.5,0.23,259,2216,2475,58.96,21.61,73.46,2.72,Good day
49,2011-02-18,1,0,2,0,5,1,1,0.52,0.51,0.52,0.26,579,2348,2927,47.2,24.35,83.86,2.5,Good day
50,2011-02-19,1,0,2,0,6,0,1,0.4,0.39,0.19,0.51,532,1103,1635,64.64,0.27,100.0,2.94,Good day
51,2011-02-20,1,0,2,0,0,0,1,0.29,0.28,0.41,0.22,639,1173,1812,84.82,5.2,69.77,3.29,Good day
52,2011-02-21,1,0,2,1,1,0,2,0.3,0.28,0.6,0.31,195,912,1107,81.19,45.28,92.07,3.81,Normal day
53,2011-02-22,1,0,2,0,2,1,1,0.18,0.19,0.58,0.2,74,1376,1450,96.99,38.17,58.28,3.87,Normal day
54,2011-02-23,1,0,2,0,3,1,1,0.22,0.25,0.42,0.09,139,1778,1917,93.84,6.7,8.76,2.97,Good day
55,2011-02-24,1,0,2,0,4,1,2,0.3,0.29,0.7,0.25,100,1707,1807,83.17,67.85,80.71,3.98,Normal day
56,2011-02-25,1,0,2,0,5,1,2,0.36,0.35,0.71,0.35,120,1341,1461,70.18,71.0,95.62,3.77,Normal day
57,2011-02-26,1,0,2,0,6,0,1,0.28,0.28,0.54,0.19,424,1545,1969,85.36,28.52,53.08,3.38,Good day
58,2011-02-27,1,0,2,0,0,0,1,0.34,0.35,0.68,0.13,694,1708,2402,73.46,62.24,20.11,3.03,Good day
59,2011-02-28,1,0,2,0,1,1,2,0.41,0.4,0.88,0.29,81,1365,1446,63.75,95.49,88.24,3.75,Normal day
60,2011-03-01,1,0,3,0,2,1,1,0.27,0.26,0.54,0.22,137,1714,1851,88.1,27.63,67.03,3.59,Normal day
61,2011-03-02,1,0,3,0,3,1,1,0.34,0.32,0.45,0.31,231,1903,2134,75.38,9.85,91.93,3.28,Good day
62,2011-03-03,1,0,3,0,4,1,1,0.2,0.2,0.32,0.23,123,1562,1685,95.62,1.64,71.27,3.6,Normal day
63,2011-03-04,1,0,3,0,5,1,2,0.26,0.26,0.61,0.2,214,1730,1944,89.81,45.69,60.88,3.76,Normal day
64,2011-03-05,1,0,3,0,6,0,2,0.38,0.38,0.79,0.25,640,1437,2077,66.89,85.91,81.4,3.68,Normal day
65,2011-03-06,1,0,3,0,0,0,2,0.38,0.37,0.95,0.34,114,491,605,68.26,99.45,95.08,3.99,Normal day
66,2011-03-07,1,0,3,0,1,1,1,0.26,0.24,0.55,0.34,244,1628,1872,89.6,32.28,94.39,3.95,Normal day
67,2011-03-08,1,0,3,0,2,1,1,0.29,0.3,0.42,0.12,316,1817,2133,83.45,6.43,17.72,2.74,Good day
68,2011-03-09,1,0,3,0,3,1,2,0.3,0.29,0.78,0.22,191,1700,1891,82.9,84.75,67.58,4.01,Normal day
69,2011-03-10,1,0,3,0,4,1,3,0.39,0.39,0.0,0.26,46,577,623,66.21,0.14,83.45,2.82,Good day
70,2011-03-11,1,0,3,0,5,1,2,0.32,0.3,0.65,0.23,247,1730,1977,79.82,55.4,74.69,3.7,Normal day
71,2011-03-12,1,0,3,0,6,0,1,0.33,0.33,0.59,0.22,724,1408,2132,76.4,42.89,68.19,3.4,Good day
72,2011-03-13,1,0,3,0,0,0,1,0.38,0.38,0.53,0.27,982,1435,2417,66.62,26.4,85.09,3.11,Good day
73,2011-03-14,1,0,3,0,1,1,1,0.33,0.33,0.5,0.14,359,1687,2046,77.15,19.43,26.81,2.78,Good day
74,2011-03-15,1,0,3,0,2,1,2,0.32,0.32,0.66,0.18,289,1767,2056,79.48,57.59,51.98,3.48,Good day
75,2011-03-16,1,0,3,0,3,1,2,0.37,0.37,0.78,0.2,321,1871,2192,70.04,85.09,60.74,3.56,Normal day
76,2011-03-17,1,0,3,0,4,1,1,0.42,0.41,0.6,0.21,424,2320,2744,61.76,44.53,64.16,2.94,Good day
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.53,0.53,0.23,884,2355,3239,44.12,26.13,74.01,2.32,Good day
78,2011-03-19,1,0,3,0,6,0,1,0.47,0.47,0.38,0.37,1424,1693,3117,52.8,3.01,97.67,2.59,Good day
79,2011-03-20,1,0,3,0,0,0,1,0.33,0.33,0.47,0.21,1047,1424,2471,75.72,13.82,62.93,3.04,Good day
80,2011-03-21,2,0,3,0,1,1,2,0.43,0.41,0.74,0.29,401,1676,2077,59.78,77.02,88.1,3.44,Good day
81,2011-03-22,2,0,3,0,2,1,1,0.44,0.44,0.62,0.23,460,2243,2703,57.59,49.66,71.07,2.94,Good day
82,2011-03-23,2,0,3,0,3,1,2,0.35,0.34,0.84,0.23,203,1918,2121,72.78,92.75,75.38,3.86,Normal day
83,2011-03-24,2,0,3,0,4,1,2,0.28,0.27,0.81,0.24,166,1699,1865,84.95,88.03,79.07,4.22,Bad day
84,2011-03-25,2,0,3,0,5,1,1,0.26,0.26,0.5,0.23,300,1910,2210,89.4,19.15,73.8,3.61,Normal day
85,2011-03-26,2,0,3,0,6,0,1,0.27,0.26,0.39,0.21,981,1515,2496,88.65,3.42,63.82,3.33,Good day
86,2011-03-27,2,0,3,0,0,0,2,0.25,0.25,0.49,0.18,472,1221,1693,91.38,18.47,51.85,3.44,Good day
87,2011-03-28,2,0,3,0,1,1,1,0.26,0.26,0.3,0.21,222,1806,2028,89.19,0.82,65.12,3.34,Good day
88,2011-03-29,2,0,3,0,2,1,1,0.3,0.29,0.31,0.23,317,2108,2425,81.46,1.23,71.82,3.17,Good day
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.3,0.65,0.17,168,1368,1536,81.74,54.79,46.1,3.46,Good day
90,2011-03-31,2,0,3,0,4,1,3,0.27,0.26,0.92,0.22,179,1506,1685,87.96,98.63,67.17,4.3,Bad day
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.28,0.69,0.26,307,1920,2227,81.74,64.09,82.63,3.92,Normal day
92,2011-04-02,2,0,4,0,6,0,2,0.32,0.32,0.65,0.2,898,1354,2252,80.16,56.84,58.69,3.56,Normal day
93,2011-04-03,2,0,4,0,0,0,1,0.38,0.38,0.48,0.18,1651,1598,3249,67.85,14.64,50.62,2.69,Good day
94,2011-04-04,2,0,4,0,1,1,1,0.57,0.54,0.43,0.39,734,2381,3115,38.37,7.25,98.36,2.21,Good day
95,2011-04-05,2,0,4,0,2,1,2,0.41,0.4,0.64,0.39,167,1628,1795,62.11,53.63,98.63,3.39,Good day
